# 
# 10/02/2025 18:15:22
# The parameters defined in the project are:
# ,P29 - NoseConeLength [cm],P30 - radius [m],P31 - rocketLocation [m],P32 - fuselageLength [cm],P33 - pointRoundingRadius [mm],P34 - pointRoundingHeight [mm],P35 - overallLength [m],P36 - diameter [mm],P37 - boi_upstream [mm],P38 - boi_radius [mm],P39 - boi_downstream [mm],P40 - farfield_upstream [m],P41 - farfield_downstream [m],P42 - farfield_radius [m],P43 - boi_NCpoint [m],P44 - boi_NCpointDiam [mm],P45 - Croot [cm],P46 - Ctip [cm],P47 - finLocation_base2TE [cm],P48 - enlarging [cm],P49 - semi_span [m],P51 - locationFinRadius [m],P53 - sweepLength [m],P54 - sweepAngle [degree],P55 - MachInput,P56 - operatingPressure [Pa],P57 - inputAbsTemp [K],P61 - locationFinRight [m],P65 - NoseConeLength [cm],P66 - radius [m],P67 - rocketLocation [m],P68 - fuselageLength [cm],P69 - pointRoundingRadius [mm],P70 - pointRoundingHeight [mm],P71 - overallLength [m],P72 - diameter [mm],P73 - boi_upstream [mm],P74 - boi_radius [mm],P75 - boi_downstream [mm],P76 - farfield_upstream [mm],P77 - farfield_downstream [mm],P78 - farfield_radius [mm],P79 - boi_NCpoint [m],P80 - boi_NCpointDiam [mm],P81 - Croot [cm],P82 - Ctip [cm],P83 - finLocation_base2TE [cm],P84 - enlarging [cm],P85 - semi_span [m],P88 - sweepLength [m],P89 - sweepAngle [degree],P91 - velocity_incompressible [m s^-1],P95 - Mach_incompressible,P97 - AoA_incompressible [degree],P101 - AoA_compressible [degree],P108 - velocityIn [m s^-1],P109 - temperatureAmbient [K],P105 - sideforce-incompressible-op [N],P106 - lift-force-incompressible-op [N],P107 - drag-force-incompressible-op [N],P110 - side-force-op [N],P111 - lift-force-op [N],P112 - drag-force-op [N]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P53,P54,P55,P56,P57,P61,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P88,P89,P91,P95,P97,P101,P108,P109,P105,P106,P107,P110,P111,P112
DP 10,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,15,15,170.08703654305933,288,24.69873,-0.0064664218,-9.8616466,631.74093,-0.0025929644,-238.94355
DP 11,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,15,15,204.10444385167119,288,222.56327,-0.03411941,-86.745791,727.22262,0.42059502,-271.36932
DP 12,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.4,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,20,20,136.06962923444746,288,7.8162081,0.0055383879,-3.7255885,391.45317,-0.24681032,-176.66747
DP 13,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,20,20,170.08703654305933,288,31.276144,0.018500092,-14.669701,759.4547,0.18323596,-348.5497
DP 14,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,20,20,204.10444385167119,288,277.19171,0.26150472,-128.10597,847.0114,-1.4347733,-384.6962
DP 15,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.4,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,25,25,136.06962923444746,288,9.4735691,0.016829125,-5.2864034,463.02415,-4.3155482,-247.31269
DP 16,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,25,25,170.08703654305933,288,37.467496,0.0091280352,-20.692437,908.57574,-2.8138871,-491.40925
DP 17,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,25,25,204.10444385167119,288,323.21897,0.78103801,-177.71427,993.27756,-5.2316639,-533.46954
DP 18,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.4,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,35,35,136.06962923444746,288,11.708173,-0.077409261,-9.0154272,594.00157,-9.6083059,-438.90829
DP 19,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,35,35,170.08703654305933,288,44.386256,0.063491696,-34.071827999999996,1194.9488,-6.0994853,-886.98394
DP 20,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,35,35,204.10444385167119,288,357.17925,3.1299297,-277.47521,1220.2584,-31.939932,-901.23639
DP 21,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.4,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,17.008703654305933,0.05,50,50,136.06962923444746,288,11.802741,0.37374401,-14.854171,-972.33508,12.840431,1076.877
DP 22,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.5,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,34.017407308611865,0.1,50,50,170.08703654305933,288,46.088928,1.9967689,-57.935675,-643.00588,-11.210037,711.44836
DP 23,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.6,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,50,50,204.10444385167119,288,365.38911,26.118261,-460.54474,-1895.6341,9.1766458,2106.2408
DP 24,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,15.2,30.4,1.8980000000000001,0.76,25,15,10,4,10,0.097450000000000009,0.047450000000000006,0.083909963117728026,40,0.3,101325,288,0.76,20,0.047450000000000006,0.76,132,1.5,1.2,1.52,94.9,40,80,2300,1550,2750,3200,0.76,25,15,10,4,10,0.097450000000000009,0.083909963117728026,40,102.0522219258356,0.3,50,50,102.0522219258356,288,365.38911,26.118261,-460.54474,-366.4345,3.6023936,404.39039
