P27 - velocityIn [m s^-1];172.08;;
;;;
Row Labels;Sum of P29 - drag-force-compressible-op [N];Sum of P31 - sideforce-compressible-op [N];Sum of P30 - lift-force-compressible-op [N]
0;-72.227694;-0.36807227;0.10184684
5;-91.95939;-0.46092192;209.05485
10;-146.82985;0.011103778;428.52173
15;-237.85024;0.63996736;633.70202
25;-511.91048;-4.3068771;963.63561
35;-946.84908;2.0352648;1292.0599
50;847.50466;51.089368;-732.52918
Grand Total;-1160.122074;48.63983265;2794.546777
